"","player_name","drafted","GP","min_total","adjoe","ht_rev","Min_per"
"1","A'TOREY EVERETT","No",23,437,80.4719,76,19
"2","A'TORRI SHINE","No",54,4282.2,94.389695964691,77.5,79.3
"3","A'USTON CALHOUN","No",94,6783.9,105.644413036749,79,72.1691489361702
"4","A.C. REID","No",95,4535.8,80.089017192116,77,47.7452631578947
"5","A.D. VASSALLO","No",34,3053.2,123.36,78,89.8
"6","A.J. ABRAMS","No",35,3272.5,119.229,71,93.5
"7","A.J. ASTROTH","No",68,2113.8,93.2302519443656,78,31.0852941176471
"8","A.J. AVERY","No",75,1365.2,87.9639617198945,78,18.2026666666667
"9","A.J. BANKS","No",63,3669.5,85.3508552800109,74,58.2460317460317
"10","A.J. BOWERS","No",12,51.6,96.6371,77,4.3
"11","A.J. BURCH","No",6,3.6,10.8535,69,0.6
"12","A.J. CALDWELL","No",80,4150.9,93.7169929557445,76.25,51.88625
"13","A.J. CHEESEMAN","No",63,2090.6,89.4407838802258,78.6666666666667,33.184126984127
"14","A.J. COCKRELL","No",29,881.6,78.5747,80,30.4
"15","A.J. DAVIS","No",231,13331.8,102.601111849863,79.5,57.7134199134199
"16","A.J. ENGLISH","No",112,8657.9,119.561162233336,76,77.3026785714286
"17","A.J. FRAZIER","No",1,0.1,49.3052,75,0.1
"18","A.J. GARDEN","No",1,0.1,-8.59086,68,0.1
"19","A.J. GARERI","No",10,49,52.9366,81,4.9
"20","A.J. GASPORRA","No",13,85.8,83.5593,74,6.6
"21","A.J. HAMMONS","No",131,7680.5,117.736211275308,84,58.6297709923664
"22","A.J. HARDEMAN","No",135,6322.6,94.7632476228134,80,46.8340740740741
"23","A.J. HARRIS","No",35,1179.5,85.3553,69,33.7
"24","A.J. HAWKINS","No",55,2311.1,91.3567580199905,78,42.02
"25","A.J. HESS","No",117,6662.9,100.336337060439,78.2,56.9478632478632
"26","A.J. HICKS","No",31,2582.3,98.1191,72,83.3
"27","A.J. HIGHSMITH","No",40,388,103.114246907216,76,9.7
"28","A.J. HOGGARD","No",26,795.6,80.0705,75,30.6
"29","A.J. HOLLAND","No",25,625,64.2809,74,25
"30","A.J. JACOBSON","No",114,8621.8,106.328462316454,78,75.6298245614035
"31","A.J. JOHN","No",53,1267.3,64.9614522686025,80,23.911320754717
"32","A.J. JONES","No",31,1537.6,95.2826,76,49.6
"33","A.J. KEMP","No",12,6.2,32.4711677419355,74,0.516666666666667
"34","A.J. LABRIOLA","No",24,33.1,81.5701570996979,74,1.37916666666667
"35","A.J. LAPRAY","No",43,619.6,76.7000178373144,77,14.4093023255814
"36","A.J. LAWSON","No",167,11247.5,102.456903647033,77.3333333333333,67.3502994011976
"37","A.J. LYNCH","No",6,35.4,50.6803,75,5.9
"38","A.J. MCGINNIS","No",28,985.6,100.691,75,35.2
"39","A.J. MCNEIL","No",2,1.6,6.59622,74,0.8
"40","A.J. MERRIWEATHER","No",114,6563.8,101.555850470764,74,57.5771929824561
"41","A.J. METZ","No",1,0.1,-7.26108,77,0.1
"42","A.J. MOSBY","No",57,4595.3,105.120005290188,75,80.6192982456141
"43","A.J. OGILVY","No",61,3714,124.69325094238,82.5,60.8852459016393
"44","A.J. OLIVER II","No",42,2537,102.97288372093,77,60.4047619047619
"45","A.J. PATTY","No",16,99.2,85.2502,81,6.2
"46","A.J. PLITZUWEIT","No",21,1587.6,122.521,74,75.6
"47","A.J. PRICE","No",49,2659,114.9654731478,74,54.265306122449
"48","A.J. REEVES","No",79,4412.3,102.041001849376,78,55.8518987341772
"49","A.J. RILEY","No",28,1461.6,104.264,76,52.2
"50","A.J. ROGERS","No",84,1301.8,78.4357829927792,78.75,15.4976190476191
"51","A.J. ROMPZA","No",108,6778.6,96.3501807688903,69,62.7648148148148
"52","A.J. RUTTER","No",5,5,83.871,73,1
"53","A.J. SIEBERT","No",3,0.6,-0.36012,77,0.2
"54","A.J. SLAUGHTER","No",66,5741.4,119.1240599157,75,86.9909090909091
"55","A.J. SMITH","No",53,4037,98.6997983948477,72,76.1698113207547
"56","A.J. SPENCER","No",63,4205.4,100.210340704808,75,66.7523809523809
"57","A.J. STATON-MCCRAY","No",17,1108.4,84.2817,77,65.2
"58","A.J. STEWART","No",35,401.7,98.1122533980583,81,11.4771428571429
"59","A.J. TAYLOR","No",1,0.2,59.2515,78,0.2
"60","A.J. TOMS","No",5,2,-7.65537,70,0.4
"61","A.J. TURNER","No",121,8137.8,95.9485053478827,79,67.2545454545455
"62","A.J. TYLER","No",84,4370.6,104.788241454263,81,52.0309523809524
"63","A.J. WALKER","No",87,6682.6,104.553451096878,74,76.8114942528736
"64","A.J. WALTON","No",137,8193,93.0103379274991,73,59.8029197080292
