Y,X,Result,Assisted,Goalie,Player,Team,Year
1386,1236,GOAL,Unassisted,John Galloway,Stephen Kelly,Archers,2019
1373,838,OFF,Unassisted,Adam Ghitelman,John Ranagan,Chrome,2019
1449,931,OFF,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
979,1351,OFF,Assisted,John Galloway,Will Manny,Archers,2019
1372,1398,OFF,Assisted,Adam Ghitelman,Max Tuttle,Chrome,2019
952,746,BLOCKED,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1039,925,MESSY SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1408,1251,GOAL,Assisted,John Galloway,Marcus Holman,Archers,2019
1234,1262,BLOCKED,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1458,1026,OFF,Unassisted,John Galloway,Scott Ratliff,Archers,2019
1075,1134,GOAL,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1170,1267,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1491,905,BLOCKED,Unassisted,Adam Ghitelman,Connor Farrell,Chrome,2019
1047,1325,CLEAN SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1331,1274,OFF,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
1257,1526,OFF,Assisted,John Galloway,Kevin Rice,Archers,2019
1508,1081,GOAL,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1343,1153,MESSY SAVE,Assisted,Adam Ghitelman,Will Haus,Chrome,2019
1450,1354,OFF,Unassisted,John Galloway,Tom Schreiber,Archers,2019
862,852,MESSY SAVE,Assisted,John Galloway,Marcus Holman,Archers,2019
1199,1110,OFF,Unassisted,Adam Ghitelman,Joel White,Chrome,2019
895,1208,OFF,Unassisted,John Galloway,Christian Cuccinello,Archers,2019
1432,737,GOAL,Unassisted,John Galloway,Marcus Holman,Archers,2019
1479,1141,GOAL,Unassisted,Adam Ghitelman,Will Haus,Chrome,2019
1436,1057,OFF,Unassisted,John Galloway,Tom Schreiber,Archers,2019
1379,599,CLEAN SAVE,Assisted,John Galloway,Christian Cuccinello,Archers,2019
1103,896,GOAL,Assisted,Adam Ghitelman,Mike O'Neil,Chrome,2019
1136,839,OFF,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1024,625,MESSY SAVE,Unassisted,John Galloway,Ryan Ambler,Archers,2019
981,576,MESSY SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1258,1119,OFF,Assisted,John Galloway,Will Manny,Archers,2019
1121,1422,CLEAN SAVE,Unassisted,John Galloway,Kevin Rice,Archers,2019
1452,627,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1021,1085,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1441,865,MESSY SAVE,Unassisted,Adam Ghitelman,Connor Farrell,Chrome,2019
1478,670,GOAL,Assisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1310,810,PIPE,Unassisted,John Galloway,Dan Eipp,Archers,2019
1134,735,GOAL,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1361,1313,OFF,Unassisted,Adam Ghitelman,Max Tuttle,Chrome,2019
1597,765,OFF,Assisted,Adam Ghitelman,Romar Dennis,Chrome,2019
1040,1211,GOAL,Assisted,Adam Ghitelman,Ty Thompson,Chrome,2019
1443,770,GOAL,Unassisted,John Galloway,Ben Mcintosh,Archers,2019
1324,561,GOAL,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1250,990,MESSY SAVE,Assisted,John Galloway,Ben Mcintosh,Archers,2019
1637,977,GOAL,Assisted,John Galloway,Tom Schreiber,Archers,2019
1456,1185,OFF,Unassisted,Adam Ghitelman,Drew Simoneau,Chrome,2019
1165,830,GOAL,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1455,736,BLOCKED,Assisted,John Galloway,Will Manny,Archers,2019
994,864,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1144,773,GOAL,Unassisted,Adam Ghitelman,John Ranagan,Chrome,2019
1227,1209,CLEAN SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1702,863,OFF,Assisted,Adam Ghitelman,Matt Danowski,Chrome,2019
1121,1202,GOAL,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1543,546,OFF,Unassisted,Adam Ghitelman,Romar Dennis,Chrome,2019
1529,855,CLEAN SAVE,Unassisted,John Galloway,Tom Schreiber,Archers,2019
998,888,GOAL,Assisted,Adam Ghitelman,Ty Thompson,Chrome,2019
1491,1069,BLOCKED,Unassisted,John Galloway,Stephen Kelly,Archers,2019
1324,1453,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1318,918,MESSY SAVE,Assisted,John Galloway,Will Manny,Archers,2019
1501,813,OFF,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1360,564,OFF,Assisted,Adam Ghitelman,John Ranagan,Chrome,2019
986,807,PIPE,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
907,805,GOAL,Unassisted,Adam Ghitelman,Ned Crotty,Chrome,2019
1493,1162,OFF,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
912,796,MESSY SAVE,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
971,1258,OFF,Unassisted,John Galloway,Kevin Rice,Archers,2019
1021,1278,GOAL,Unassisted,John Galloway,Marcus Holman,Archers,2019
1575,1229,MESSY SAVE,Assisted,Adam Ghitelman,Matt Danowski,Chrome,2019
918,809,MESSY SAVE,Unassisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1492,780,MESSY SAVE,Unassisted,John Galloway,Dan Eipp,Archers,2019
1578,831,MESSY SAVE,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1150,808,CLEAN SAVE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1516,1190,GOAL,Assisted,John Galloway,Ben Mcintosh,Archers,2019
976,820,OFF,Unassisted,Adam Ghitelman,Jordan Wolf,Chrome,2019
1095,1073,MESSY SAVE,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1321,1081,PIPE,Assisted,Adam Ghitelman,Justin Guterding,Chrome,2019
1541,898,OFF,Assisted,Adam Ghitelman,Jordan MacIntosh,Chrome,2019
1132,676,GOAL,Assisted,John Galloway,Will Manny,Archers,2019
1120,726,MESSY SAVE,Assisted,Blaze Riorden,Ben Reeves,Whipsnakes,2019
1059,1102,GOAL,Unassisted,Blaze Riorden,Jules Heningburg,Whipsnakes,2019
